"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Get booking with invalid ID","chromium","2026-09-26","passed","2026-09-26","Booking API - Get Booking","getBooking.spec.ts","",""
"","258","Update booking without authentication","chromium","2026-09-26","passed","2026-09-26","Booking API - Complete CRUD Lifecycle","updateBooking.spec.ts","",""
"","266","Login with invalid credentials","chromium","2026-09-26","passed","2026-09-26","Authentication API","auth.spec.ts","",""
"","11","Should fail when total price is not a number","chromium","2026-09-26","passed","2026-09-26","Booking API - Create Booking","createBooking.spec.ts","",""
"","532","Generate authentication token","chromium","2026-09-26","passed","2026-09-26","Authentication API","auth.spec.ts","",""
"","13","Should fail when depositpaid is invalid","chromium","2026-09-26","passed","2026-09-26","Booking API - Create Booking","createBooking.spec.ts","",""
"","514","Create booking and verify details","chromium","2026-09-26","passed","2026-09-26","Booking API - Create Booking","createBooking.spec.ts","",""
"","6","Should fail when payload contains unknown fields","chromium","2026-09-26","passed","2026-09-26","Booking API - Create Booking","createBooking.spec.ts","",""
"","863","Create, Update, Patch and Delete booking flow","chromium","2026-09-26","passed","2026-09-26","Booking API - Complete CRUD Lifecycle","updateBooking.spec.ts","",""
"","563","Get booking details by ID","chromium","2026-09-26","passed","2026-09-26","Booking API - Get Booking","getBooking.spec.ts","",""
